series_id,year,period,value,footnote_codes.x,date,area_code,item_code,seasonal,periodicity_code,base_code,base_period,footnote_codes.y,begin_year,begin_period,end_year,end_period,item_name
MUSR0000SA0L1,1957,M10,28.2,NA,1957-10-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1957,M11,28.3,NA,1957-11-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1957,M12,28.3,NA,1957-12-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1958,M01,28.4,NA,1958-01-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1958,M02,28.5,NA,1958-02-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1958,M03,28.5,NA,1958-03-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1958,M04,28.6,NA,1958-04-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1958,M05,28.6,NA,1958-05-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1958,M06,28.6,NA,1958-06-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1958,M07,28.6,NA,1958-07-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1958,M08,28.7,NA,1958-08-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1958,M09,28.7,NA,1958-09-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1958,M10,28.7,NA,1958-10-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1958,M11,28.8,NA,1958-11-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1958,M12,28.8,NA,1958-12-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1959,M01,28.9,NA,1959-01-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1959,M02,28.9,NA,1959-02-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1959,M03,28.9,NA,1959-03-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1959,M04,29,NA,1959-04-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1959,M05,29.1,NA,1959-05-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
MUSR0000SA0L1,1959,M06,29.2,NA,1959-06-01,0000,SA0L1,S,R,S,1982-84=100,NA,1947,M01,1997,M12,All items less food
